번호,제목,사건번호,선고일자,참조조문,조문번호,판시사항
,,,,형법,"제42조, 제53조, 제55조, 제297조",
230,공직 선거법 위반·명예훼손·무고·정보통신망 이용촉진및 정보보호등에 관한 법률위반(명예훼손),2011도6904,2011. 8. 18.,형법,제307조,"[1] 명예훼손죄 성립에 필요한 ‘사실의 적시’ 정도
[2] 피고인이 제5회 전국동시지방선거에서 군수로 당선된 甲을 비방하는 내용의 문자메시지를 마치 관할 지방검찰청 지청에서 발신하는 것처럼 기자들에게 발송하여 해당 지청장 또는 지청 구성원의 명예를 훼손하였다는 내용으로 기소된 사안에서, 이들의 사회적 가치나 평가를 저하시키기에 충분한 구체적인 사실의 적시가 있다고 볼 수 없는데도, 이와 달리 본 원심판단에 법리오해 등의 위법이 있다고 한 사례"
231,사기·정보통신망 이용 촉진및 정보보호등에 관한 법률위반(정보통신망 침해등)·정보통신망 이용촉진및 정보보호등에 관한 법률위반,2011도5299,2011. 7. 28.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제48조, 제72조","[1]           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제72조 제1항 제1호,           제48조 제1항 위반죄의 성립 요건        
[2] 피고인이, 사용이 정지되거나 사용할 수 없게 된 휴대전화를 ‘유심칩(USIM Chip) 읽기’ 등을 통하여 다량의 문자메시지를 발송할 수 있는 상태로 조작하기 위한 목적으로 이동통신회사의 정보통신망에 접속한 사안에서, 위 행위가           정보통신망 이용촉진 및 정보보호 등에 관한 법률 제72조 제1항 제1호,           제48조 제1항 위반죄에 해당한다고 본 원심판단을 수긍한 사례        
[3] 피고인이, 휴대전화 문자메시지를 발송하더라도 이용대금을 납부할 의사와 능력이 없는데도, 단독으로 또는 공범들과 함께 사용이 정지되거나 사용할 수 없게 된 휴대전화를 구입한 후 이른바 ‘대포폰’으로 유통시켜 사용하도록 하거나 ‘유심칩(USIM Chip) 읽기’를 통하여 해당 휴대전화의 문자발송제한을 해제하고 광고성 문자를 대량 발송하는 방법으로 이동통신회사들로부터 이용대금 상당의 재산상 이득을 취득하였다는 내용으로 기소된 사안에서, 피고인의 행위가 ‘사람을 기망하여 재산상 이득을 취득한 경우’에 해당한다고 볼 수 없는데도 이와 달리 보아 피고인에게 사기죄를 인정한 원심판단에 법리오해의 위법이 있다고 한 사례"
,,,,형법,"제30조, 제347조",
232,특정 경제 범죄 가중 처벌등에 관한 법률 위반(사기)·사기·건설 기술 관리법 위반·정보 통신망 이용 촉진및 정보 보호등에 관한 법률 위반(정보 통신망 침해등)·특정 경제 범죄 가중 처벌등에 관한 법률 위반(사기)방조·사기 방조,2010도4183,2011. 7. 28.,건설기술관리법,제42조,"[1] 레디믹스트콘크리트(‘레미콘’으로 약칭함) 제조업자인 피고인들이 한국산업규격을 위반한 레미콘을 생산하여 건설업체들에 공급하였다고 하여 구 건설기술관리법 위반으로 기소된 사안에서, 레미콘이           같은 법 시행령 제47조의3 제1항 제4호와           제6호에서 정한 ‘부순 골재’나 ‘순환골재’에 해당하지 않는 이상           같은 법 제24조의2 제2항,           제42조 제1호의3에 의하여 처벌할 수 없고, 건설업자 아닌 피고인들이 간접정범의 형태로 ‘건설업자’라는 일정한 신분을 요하는 신분범인 같은 법 위반죄를 범할 수도 없다는 이유로 무죄를 인정한 원심판단을 수긍한 사례        
[2] 피고인이 레디믹스트콘크리트(‘레미콘’으로 약칭함) 자동생산제어시스템의 정상적인 운용을 방해할 수 있는 데이터파일과 소스코드 등을 개발하여 레미콘 제조회사에 전달하였다고 하여 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반으로 기소된 사안에서, 데이터파일은 컴퓨터 프로그램이라고 할 수 없고, 소스코드는           같은 법 제48조 제2항에서 정한 악성프로그램에 해당하지 않는다는 이유로 무죄를 인정한 원심판단을 수긍한 사례"
,,,,형법,제34조,
233,강제 추행 상해,2011고합176,2011. 7. 22.,아동·청소년의 성보호에 관한 법률,"제13조, 제33조, 제34조, 제38조, 제38조의2",
,,,,형법,"제53조, 제55조, 제62조, 제298조, 제301조",
234,의료법 위반·정보 통신망 이용 촉진및 정보 보호등에 관한 법률 위반(명예 훼손),2010도1444,2011. 7. 14.,의료법,"제27조, 제80조, 제87조, 제91조","[1] 간호조무사의 업무 중 ‘진료보조’의 의미 및 의사가 환자를 전혀 진찰하지 않은 상태에서 간호조무사 단독으로 진료행위를 하는 것이 진료보조행위에 해당하는지 여부(소극)
[2] 의사인 피고인의 사용인 간호조무사 甲이 산통으로 내원한 임산부에 대하여 임의로 무통주사와 수액주사를 처치하고 내진을 하는 등 의료행위를 한 사안에서, 甲의 진료행위가 간호조무사가 할 수 있는 진료보조행위 범위를 벗어났다고 본 다음 甲의 구 의료법 위반행위를 방지하기 위한 상당한 주의와 감독을 기울였다고 볼 수 없다는 이유로 양벌규정을 적용하여 피고인에게 유죄를 인정한 원심판단을 정당하다고 한 사례
[3] 피고인이 인터넷 게시판에 ‘甲은 군무원 시험을 친 적도 없고 군무원도 아니었다’는 허위사실을 게시하였다고 하여 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(명예훼손)으로 기소된 사안에서, 甲이 군 복무시설 등에 민간인으로서 근무하는 ‘근무원’이 아닌 ‘군무원’으로 재직하였다는 사실을 인정할 증거가 없는데도, 甲의 ‘군무원’ 재직경력이 증명되었다고 속단하여 피고인 주장을 허위라고 인정한 원심판단에 법리오해 등의 위법이 있다고 한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,
235,정보통신망 이용촉진 및 정보보호 등에 관한 법률위반(개인정보누설등),2011도1960,2011. 7. 14.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제22조, 제24조, 제24조의2, 제71조, 제75조","[1]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제24조 제1항에서 정한 ‘          같은 법 제22조 제2항의 규정에 의한 고지의 범위 또는 약관에 명시한 범위’의 의미        
[2] 정보통신서비스 제공자인 피고인 甲 주식회사의 임원 피고인 乙이 이용자들의 개인정보를 수집하면서 ‘미리’ 고지하거나 약관에서 명시한 ‘개인정보의 이용목적’ 범위를 넘어 개인정보를 이용하였다고 하여 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반으로 기소된 사안에서, 피고인들에게 유죄를 인정한 원심판단을 수긍한 사례
[3] 정보통신서비스 제공자인 피고인 甲 주식회사의 임원 피고인 乙이 이용자들의 동의를 받지 아니하고 개인정보를 제3자인 丙 주식회사에 제공하였다고 하여 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반으로 기소된 사안에서, 丙 회사는 甲 회사의 일부 업무를 위탁받아 수행하는 ‘수탁자’로서           같은 법 제24조에서 정한 ‘제3자’가 아니고, 달리 검사 제출 증거들만으로는 피고인들에게 유죄를 인정할 수 없다고 본 원심판단을 수긍한 사례"
,,,,정보통신망이용촉진및정보보호등에관한법률,"제22조, 제24조, 제62조, 제66조",
,,,,형사소송법,"제307조, 제325조",
236,의료법위반·업무상과실치사,2011노317,2011. 6. 30.,,"제307조, 제325조",
237,아동·청소년의 성보호에 관한 법률 위반(강간 등)·성폭력 범죄의 처벌 등에 관한 특례법 위반(카메라 등 이용 촬영)·강요·협박,2011고합68,2011. 6. 24.,성폭력범죄의 처벌 등에 관한 특례법,제13조,
,,,,아동·청소년의 성보호에 관한 법률,"제7조, 제13조, 제33조, 제34조, 제38조",
,,,,형법,"제37조, 제38조, 제50조, 제53조, 제55조, 제283조, 제297조, 제324조",
,,,,형사소송법,제327조,
238,정보 통신망 이용 촉진및 정보 보호등에 관한 법률 위반(명예 훼손),2011도1147,2011. 6. 10.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"[1]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제2항의 명예훼손죄 성립요건인 ‘허위의 인식’과 이에 대한 증명책임의 소재(=검사)        
[2]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제2항의 명예훼손죄에서 ‘사실의 적시’의 의미 및 적시한 사실이 ‘거짓의 사실’인지 판단하는 기준        
[3]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제61조 제2항의 명예훼손죄에서 ‘사람을 비방할 목적’의 의미 및 적시한 사실이 공공의 이익을 위한 것인지 판단하는 기준"
,,,,형법,"제307조, 제309조",
,,,,형사소송법,제308조,
239,성폭력범죄의 처벌 등에 관한 특례법 위반(13세미만 미성년자 강간등)(일부인정된 죄명: 주거침입)·부착명령,2011노37,2011. 5. 31.,성폭력범죄의 처벌 등에 관한 특례법,제7조,
,,,,형법,"제1조, 제42조, 제298조, 제319조",
240,무고·모욕·명예훼손·정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2010고단1806,2011. 5. 25.,형법,제311조,
241,공직 선거법 위반·명예훼손·무고·정보 통신망 이용촉진및 정보보호등에 관한 법률위반(명예훼손,2011노5,2011. 5. 24.,형법,"제69조, 제70조, 제307조",
,,,,형사소송법,"제325조, 제334조",
242,성폭력 범죄의 처벌 등에 관한 특례법 위반(13세 미만 미성년자 강간 등)·아동·청소년의 성보호에 관한 법률 위반(강간 등)절도·부착 명령,2011노17,2011. 5. 24.,보호관찰 등에 관한 법률,제59조,
,,,,성폭력범죄의 처벌 등에 관한 특례법,제7조,
,,,,아동·청소년의 성보호에 관한 법률,"제13조, 제38조",
,,,,형법,"제37조, 제38조, 제50조, 제53조, 제55조, 제62조, 제62조의2, 제298조, 제329조",
243,공인중개사의업무및부동산거래신고에관한법률위반·정보통신망이용촉진및정보보호등에관한법률위반·상해·폭행,2010도16970,2011. 5. 13.,공인중개사의 업무 및 부동산 거래신고에 관한 법률,"제2조, 제9조, 제48조","[1] 중개사무소 개설등록을 하지 아니하고 부동산 거래를 중개하면서 그에 대한 보수를 약속·요구하는 행위가 ‘공인중개사의 업무 및 부동산 거래신고에 관한 법률’의 처벌대상이 되는지 여부(소극)
[2] 중개사무소 개설등록을 하지 아니한 피고인이 보수를 현실적으로 받지 아니한 상태에서 부동산매매를 알선만 한 사안에서, 피고인에게           ‘공인중개사의 업무 및 부동산 거래신고에 관한 법률’ 제48조 제1호,           제9조 제1항 위반죄를 인정한 원심판단에 법리오해의 위법이 있다고 한 사례"
244,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등)·업무방해·컴퓨터등장애업무방해,2008도10116,2011. 5. 13.,국가정보화 기본법,제3조,"[1]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제49조에서 정한 ‘정보’와 ‘훼손’의 의미        
[2] 불특정 다수인의 업무처리에 사용되는 컴퓨터 등을 대상으로 범한 ‘컴퓨터 등 장애 업무방해죄’에 대한 공소사실의 특정 정도
[3] 피고인들이 불특정 다수 인터넷 이용자들의 컴퓨터에 자신들의 프로그램을 설치하여 경쟁업체 프로그램이 정상적으로 사용되거나 설치되지 못하도록 함으로써 인터넷 이용자들의 인터넷 이용에 관한 업무를 방해하였다고 하여 ‘컴퓨터 등 장애 업무방해’로 기소된 사안에서, 공소장 기재만으로는 업무 주체인 피해자와 방해된 업무 내용을 알 수 없다는 이유로, 공소사실이 특정되지 않았다고 본 원심판단을 정당하다고 한 사례"
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제71조,
,,,,정보통신망이용촉진및정보보호등에관한법률,"제2조, 제49조, 제62조",
,,,,정보화촉진기본법,제2조,
,,,,형법,제314조,
,,,,형사소송법,"제254조, 제327조",
245,사기·정보통신망 이용촉진및 정보보호등에 관한 법률위반(정보통신망 침해등)·정보통신망 이용촉진및 정보보호등에 관한 법률위반·약사법 위반,2010노1648,2011. 4. 22.,약사법,"제44조, 제93조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제48조, 제72조",
,,,,형법,"제30조, 제50조의8, 제74조, 제347조",
246,성폭력 범죄의 처벌등에 관한 특례법 위반(특수 강도 강간등)·성폭력 범죄의 처벌등에 관한 특례법 위반(절도 강간등)·특수 강도·특정범죄 가중 처벌등에 관한 법률위반(절도)·주거침입(2011.4.22.공소기각결정)·상해·부착 명령,2010고합430,2011. 4. 22.,성폭력범죄의 처벌 등에 관한 특례법,"제3조, 제14조, 제32조, 제33조, 제37조, 제41조",
,,,,형법,"제26조, 제35조, 제37조, 제38조, 제42조, 제48조, 제50조, 제55조, 제257조, 제297조, 제330조, 제333조, 제334조, 제342조",
247,성폭력범죄의처벌및피해자보호등에관한법률위반(강간등치상)·부착명령,2010도16939,2011. 4. 14.,성폭력범죄의 처벌 등에 관한 특례법,"제7조, 제8조","[1] 피고인이 13세 미만의 친딸을 강간한 사안에서, 피해자가 피고인의 친딸이라는 사정이           ‘아동·청소년의 성보호에 관한 법률’ 제38조 제1항 단서의 공개명령 예외사유에 해당하지 아니한다고 본 원심의 조치를 정당하다고 한 사례        
[2] 아동·청소년 대상 성폭력범죄의 피고인에게 ‘징역 15년 및 5년 동안의 위치추적 전자장치 부착명령’을 선고한 제1심판결을 파기한 후 ‘징역 9년, 5년 동안의 공개명령 및 6년 동안의 위치추적 전자장치 부착명령’을 선고한 원심의 조치가 불이익변경금지원칙에 위배되지 않는다고 한 사례"
,,,,성폭력범죄의처벌및피해자보호등에관한법률,"제8조의2, 제9조",
,,,,아동·청소년의 성보호에 관한 법률,제38조,
,,,,형법,제299조,
,,,,형사소송법,제368조,
248,진도군수선거무효,2010수13,2011. 4. 1.,공직선거법,"제59조, 제82조의4, 제89조, 제108조, 제224조","[1]           공직선거법 제224조의 선거무효쟁송에서 선거무효 사유가 되는 ‘선거에 관한 규정에 위반된 사실’과 ‘선거의 결과에 영향을 미쳤다고 인정하는 때’의 의미        
[2] 2010. 6. 2. 실시된 지방선거의 진도군수 선거에서, 당선인으로 결정된 후보자 甲이 불법선거운동을 하였을 뿐만 아니라, 진도군선거관리위원회 위원장이 선거관리를 공정하게 하지 않고 오히려 불법선거운동을 조장하거나 묵인·방치함으로써 선거결과에 중대한 영향을 미쳤다며 상대 후보자 乙이 선거의 무효확인을 구하는 소송을 제기한 사안에서, 乙의 청구를 기각한 사례"
249,공직선거법위반,2010도15940,2011. 3. 24.,공직선거법,"제60조의3, 제82조의4, 제93조, 제255조","[1] 예비후보자가 컴퓨터 등을 활용한 자동 동보통신(同報通信)의 방법으로 문자메시지를 전송하는 일련의 사실행위를 다른 사람으로 대신하게 한 경우, 이를 공직선거법에서 허용하는 ‘예비후보자의 선거운동’으로 평가할 수 있는지 여부(한정 적극)
[2] 기초지방자치단체장 예비후보자의 선거사무장이 예비후보자의 지시를 받아 그가 지켜보는 가운데 선거구민에게 지지를 부탁하는 내용의 문자메시지를 자동 동보통신(同報通信)의 방법으로 전송한 사안에서, 위 행위를 공직선거법에서 허용하는 ‘예비후보자의 선거운동행위’로 본 원심판단을 수긍한 사례"
,,,,형사소송법,제325조,
250,성폭력 범죄의 처벌및 피해자 보호등에 관한 법률위반(친족관계에 의한 강간)·부착명령,2010도14393,2011. 3. 24.,,제325조,"2010. 7. 23. 법률 제10391호로 개정된 아동·청소년의 성보호에 관한 법률이 공개명령 제도가 시행된 2010. 1. 1. 이전에 범한 범죄에 대하여도 공개명령 제도를 적용하도록 한 것이, 소급입법금지 원칙에 반하는지 여부(소극)"
251,정보통신망이용촉진및정보보호등에관한법률위반,2010도18103,2011. 3. 24.,형사소송규칙,"제17조, 제17조의2","피고인이 지체(척추)4급 장애인으로서 국민기초생활수급자에 해당한다는 소명자료를 첨부하여 국선변호인 선정청구를 하였는데도, 이를 기각하는 결정을 한 후 공판심리를 진행한 원심의 조치에 법령위반의 위법이 있다고 한 사례"
,,,,형사소송법,제33조,
252,공직 선거법 위반·명예훼손·무고·정보통신망 이용촉진및 정보보호등에 관한 법률위반(명예훼손),2010고합46,2011. 2. 25.,공직선거법,"제18조, 제250조",
,,,,형법,"제37조, 제38조, 제40조, 제50조, 제53조, 제55조, 제69조, 제70조, 제167조, 제307조",
,,,,형사소송법,제334조,
253,손해배상(기),2010가합10002,2011. 2. 17.,교육관련기관의 정보공개에 관한 특례법,"제3조, 제5조","[1] ‘전국교직원노동조합’에 가입한 교원들의 학교명, 교사명, 담당교과, 교원단체 및 노동조합 가입현황을 인터넷 홈페이지를 통하여 공개한 행위가 해당 교원들의 개인정보자기결정권을 침해하는 것으로서 불법행위를 구성한다고 한 사례
[2] 교원의 노동조합 가입 및 탈퇴 여부가 사생활의 비밀과 자유의 보호대상에서 제외되는지 여부(소극)
[3] 교원의 노동조합 가입 여부에 관한 정보를 공개한 행위가 학생의 학습권이나 학부모의 교육권에 기초한 학부모 및 일반 국민의 알권리의 정당한 범위를 초과한 것인지 여부(적극)"
,,,,교육관련기관의 정보공개에 관한 특례법 시행령,제3조,
,,,,노동조합 및 노동관계조정법,제2조,
,,,,민법,"제750조, 제751조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제2조,
,,,,형법,"제316조, 제317조",
254,손해배상(기),2009나119131,2011. 2. 10.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제25조,
255,정보 통신망 이용 촉진및 정보 보호등에 관한 법률 위반(개인정보 누설등),2010노2850,2011. 1. 27.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제22조, 제24조, 제30조, 제31조, 제62조, 제75조",
,,,,형법,"제69조, 제70조",
,,,,형사소송법,제334조,
256,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2010고정3887,2011. 1. 13.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"피고인이 甲을 비방할 목적으로 인터넷온라인 게임 채팅창에 “촉 뻐꺼, 대머리”라는 글을 올려 거짓의 사실을 드러내어 명예를 훼손하였다는 내용의 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반(명예훼손)의 공소사실에 대하여, 무죄를 선고한 사례"
257,정보통신망이용촉진및정보보호등에관한법률위반·컴퓨터등장애업무방해,2010도13226,2011. 1. 13.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제49조, 제71조","[1] 목격자의 진술 등 직접증거가 전혀 없는 사건에서 유죄 인정의 방법
[2] 병원 전산 프로그램 제작·관리업체에 근무하는 피고인이 특정 병원 컴퓨터의 메인 서버에 접속하여 정보를 훼손함과 동시에 전산 관리 파일을 삭제하는 방법으로 환자관리 및 진료 등의 업무를 방해하였다는 내용으로 기소되었으나 이를 인정할 직접증거가 없는 사안에서, 검사 제출의 증거만으로는 위 파일 삭제가 피고인의 행위로 인한 것이라고 추단할 수 있을 만큼 증명되었다고 보기 어렵다는 이유로, 피고인에게 무죄를 선고한 원심판단을 수긍한 사례"
,,,,형법,제314조,
,,,,형사소송법,제308조,
258,해임처분취소,2010구합1762,2011. 1. 13.,지방공무원법,"제48조, 제49조, 제52조, 제55조, 제69조","근무시간에 출장 신청을 한 후 사무실 컴퓨터를 이용하여 인터넷 사이트에 제천국제한방바이오 엑스포 예매협조 문서를 비판하는 “입장권 강매가 웬말이냐”라는 제목의 글을 게시하는 등의 행위를 한 소방공무원인           원고에게 도지사가           지방공무원법 제49조,           제55조 등 위반을 이유로 해임처분을 한 사안에서, 그 징계처분이 재량권의 한계를 벗어난 것으로서 위법하다고 한 사례"
,,,,행정소송법,제27조,
259,저작권법 위반(피고인1 내지 14에 대하여 인정된 죄명:저작권법 위반방조)·저작권법 위반방조,2009노723,2011. 1. 11.,저작권법,"제136조, 제141조",
,,,,형법,"제32조, 제37조, 제38조, 제39조, 제50조, 제55조, 제62조, 제69조, 제70조",
,,,,형사소송법,"제186조, 제334조",
260,정보통신망이용촉진및정보보호등에관한법률위반,2010노4714,2011. 1. 6.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조","[1] 정보통신망을 이용한 불안감 조성행위가           ‘정보통신망 이용촉진 및 정보보호 등에 관한 법률’ 제74조 제1항 제3호,           제44조의7 제1항 제3호 위반죄에 해당하기 위한 요건        
[2] 피고인이 약 3개월 동안 7회에 걸쳐 甲에게 휴대전화로 욕설 등이 담긴 문자메시지를 보냄으로써 공포심이나 불안감을 유발하는 문자를 반복적으로 도달하게 하였다는 내용으로 기소된 사안에서, 위 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반의 공소사실을 유죄로 인정한 원심판결에 사실오인 또는 법리오해의 위법이 있다고 한 사례"
,,,,형사소송법,제307조,
261,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2010노3208,2010. 12. 24.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"피고인이 온라인 강의 업체 유명강사인 甲이 과거 허위학력 논란에 대한 사과나 해명 없이 강사활동을 계속하는 것은 기회주의적인 행태라는 취지의 비난글을 인터넷 블로그에 올림으로써, 甲을 비방할 목적으로 정보통신망을 이용하여 공공연하게 거짓의 사실을 드러내어 그 명예를 훼손하였다는 내용으로 기소된 사안에서, 위 공소사실을 유죄로 인정한 원심판결에 사실오인 또는 법리오해의 위법이 있다는 이유로 파기하고 무죄를 선고한 사례"
,,,,형사소송법,제325조,
262,사기·정보통신망 이용촉진및 정보보호등에 관한 법률위반(정보통신망 침해등)·정보통신망 이용촉진및 정보보호등에 관한 법률위반·약사법 위,2010고단2211,2010. 12. 17.,보호관찰 등에 관한 법률,제59조,
,,,,약사법,"제44조, 제93조",
,,,,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제48조, 제50조의8, 제72조, 제74조",
,,,,형법,"제30조, 제37조, 제38조, 제50조, 제62조, 제62조의2, 제347조",
263,아동·청소년의성보호에관한법률위반(강간등),2010노2933,2010. 12. 16.,아동·청소년의 성보호에 관한 법률,"제7조, 제36조, 제38조","[1] 아동·청소년 대상 성범죄를 범한 피고인에 대한 등록정보의 공개 여부 및 공개기간에 관하여 규정한           ‘아동·청소년의 성보호에 관한 법률’ 제38조의 취지 및 해석        
[2] 아동·청소년 대상 성범죄를 범한 피고인에 대하여 유죄판결과 함께 공개명령을 선고하면서 공개기간을 특정하지 아니한 원심판결 중 ‘공개명령’에 관한 부분을 직권파기하고 공개기간을 5년으로 특정하여 다시 판결을 선고한 사례"
,,,,청소년의성보호에관한법률,제37조,
,,,,형사소송법,제364조,
,,,,형의 실효 등에 관한 법률,제7조,
264,정보통신망이용촉진및정보보호등에관한법률위반,2010노1311,2010. 12. 10.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,"제44조의7, 제74조",
,,,,형법,"제69조, 제70조",
265,법인세 부과처분 취소,2010구합3055,2010. 12. 8.,복권 및 복권기금법,"제12조, 제13조, 제31조",
,,,,조세특례제한법,"제2조, 제63조의2",
,,,,조세특례제한법시행규칙,제57조,
,,,,조세특례제한법시행령,"제60조의2, 제130조",
,,,,통계법,제17조,
266,성폭력범죄의처벌및피해자보호등에관한법률위반(강간등치상)·부착명령,2010노87,2010. 12. 1.,성폭력범죄의 처벌 및 피해자보호 등에 관한 법률,"제8조의2, 제9조",
,,,,아동·청소년의 성보호에 관한 법률,"제33조, 제34조, 제38조",
,,,,특정 범죄자에 대한 위치추적 전자장치 부착 등에 관한 법률,"제5조, 제9조",
,,,,형법,"제37조, 제38조, 제50조, 제299조",
267,공인중개사의업무및부동산거래신고에관한법률위반·정보통신망이용촉진및정보보호등에관한법률위반·상해·폭행,2010노1737,2010. 11. 25.,형사소송법,제364조,
268,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),2009도12132,2010. 11. 25.,정보통신망이용촉진및정보보호등에관한법률,제70조,"[1]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조 제2항의 허위사실 적시 정보통신망을 통한 명예훼손죄에서 ‘허위의 인식’ 등에 관한 증명책임의 소재(=검사) 및 그 증명 여부의 판단 기준        
[2] 피고인이 인터넷 게시판에 허위 사실을 적시하여 甲 유학원 및 그 대표 乙의 명예를 훼손하였다는 구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 위반의 공소사실에 대하여, 이를 유죄로 인정한 원심판단에 증명책임에 관한 법리오해 또는 채증법칙 위반의 위법이 있다고 한 사례
[3]           구 정보통신망 이용촉진 및 정보보호 등에 관한 법률 제70조에서 정한 ‘사람을 비방할 목적’이 있는지 여부의 판단 기준 및 ‘공공의 이익’과의 관계"
,,,,형사소송법,제308조,
269,정보통신망이용촉진및정보보호등에관한법률위반(음란물유포)방조,2010도1588,2010. 11. 25.,형법,"제32조, 제37조","[1] 단일하고 계속된 범의 아래 일정기간 계속하여 이루어졌고 피해법익도 동일한 경우 죄수 관계(=포괄일죄) 및 방조범의 경우도 동일한 법리가 적용되는지 여부(적극)
[2] 피고인들이, 자신들이 개설한 인터넷 사이트를 통해 회원들로 하여금 음란한 동영상을 게시하도록 하고, 다른 회원들로 하여금 이를 다운받을 수 있도록 하는 방법으로 정보통신망을 통한 음란한 영상의 배포, 전시를 방조한 행위가 단일하고 계속된 범의 아래 일정기간 계속하여 이루어졌고 피해법익도 동일한 경우, 포괄일죄의 관계에 있다고 본 원심판결을 수긍한 사례"
270,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강간등){일부인정된죄명성폭력범죄의처벌및피해자보호등에관한법률위반(13세미만미성년자강간등)}·부착명령·배상명령신청,2010고합234,2010. 10. 29.,성폭력범죄의 처벌 및 피해자보호 등에 관한 법률,"제7조, 제8조의2",
,,,,소송촉진 등에 관한 특례법,제32조,
,,,,아동·청소년의 성보호에 관한 법률,제38조,
,,,,청소년의 성보호에 관한 법률,제37조,
,,,,특정 범죄자에 대한 위치추적 전자장치 부착 등에 관한 법률,"제5조, 제9조, 제9조의2",
,,,,형법,"제37조, 제38조, 제50조, 제53조, 제55조, 제298조",
271,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손)·명예훼손·업무방해,2009도4949,2010. 10. 28.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제70조,"[1] 허위사실 적시에 의한 명예훼손죄의 성립요건인 ‘허위의 인식’과 이에 대한 증명책임의 소재(=검사) 및 허위사실 유포 기타 위계에 의한 업무방해죄에도 동일한 법리가 적용되는지 여부(적극)
[2] 甲 회사와 乙의 공유인 특허발명에 대해 특허심판원의 무효심결이 내려진 후 확정되기 전에 甲 회사의 대표인 피고인이 ‘丙이 생산·판매한 제품은 위 특허권을 침해한 제품이다’라는 사실을 인터넷을 통하여 적시하고, 또한 丙의 거래처들에 같은 내용의 내용증명을 발송하였다는 내용으로 기소된 사안에서, 피고인에게 위와 같이 적시된 사실이 ‘허위’라는 인식이 있었다고 보기 어렵다고 한 사례"
,,,,정보통신망이용촉진및정보보호등에관한법률,제61조,
,,,,특허법,제133조,
,,,,형법,"제307조, 제314조",
,,,,형사소송법,제308조,
272,성폭력범죄의처벌등에관한특례법위반(13세미만미성년자강간등)·부착명령,2010노2305,2010. 10. 15.,성폭력범죄의 처벌 등에 관한 특례법,제7조,
,,,,아동·청소년의 성보호에 관한 법률,제38조,
,,,,형법,"제53조, 제55조, 제298조",
,,,,형사소송법,제364조,
273,정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),2009도11324,2010. 10. 14.,정보통신망 이용촉진 및 정보보호 등에 관한 법률,제71조,"[1] 정보통신서비스 제공자인 피고인들이 요금정산을 위하여 수집한 개인정보를 그와 다른 목적으로 이용하였다는 내용으로 기소된 사안에서, 이들이 ‘광고문자 전송’에 사용한 고객들의 휴대전화번호가 ‘요금정산’을 위해 수집한 전화번호라고 인정할 수 없다고 하여 무죄를 선고한 원심판단을 수긍한 사례
[2] ‘요금정산을 위하여 이용자의 동의 없이 수집한 개인정보를 그와 다른 목적으로 이용하였다’는 공소사실을 ‘이용자의 동의를 얻어 수집한 개인정보를 그 동의받은 목적과 다른 목적으로 이용하였다’는 범죄사실로 인정하는 경우 피고인의 방어권 행사에 실질적인 불이익을 초래할 염려가 있다는 이유로, 공소장 변경 없이 위 공소사실이 유죄로 인정되어야 한다는 취지의 검사의 상고이유 주장을 배척한 사례"
